CustomerID,CustomerName,Age,Gender,AnnualIncome_INR,IncomeCurrency,SpendingScore_1_100,MembershipTier,JoinDate,LastPurchaseDate,VisitFrequency,AvgBasketValue_INR,TotalPurchases,OnlinePurchases,StorePurchases,PreferredCategory,City,Country,EmailProvider,DeviceType,PaymentMethod,LoyaltyPoints,SatisfactionRating_1_5,CouponUsed,ChurnNextMonth
CUST100001,Diya Verma,42,Female,241279.0,INR,57,Silver,2024-02-24,2024-09-14,Rarely,758.43,40,3,38,Beauty,Bengaluru,India,gmail.com,Android,Credit Card,1438.0,2,Yes,False
CUST100002,Aditya Nair,52,Male,1135484.0,INR,61,Gold,2025-02-02,2025-10-10,Weekly,2132.28,7,4,2,Sports,Pune,India,hotmail.com,iOS,UPI,865.0,1,Yes,False
CUST100003,Saanvi Kumar,27,Male,241860.0,INR,64,Silver,2022-05-30,2023-12-17,Rarely,2269.85,9,0,10,Electronics,Lucknow,India,gmail.com,Mobile,UPI,2472.0,1,Yes,False
CUST100004,Vihaan Iyer,27,Female,470187.0,INR,86,Silver,2024-01-31,2024-07-18,Rarely,723.67,30,29,1,Food Court,Pune,India,gmail.com,Android,Credit Card,1700.0,3,Yes,False
CUST100005,Krishna Rao,25,Male,630873.0,INR,53,Basic,2022-01-25,2022-05-01,Monthly,5899.62625,38,21,17,Fashion,Bengaluru,India,hotmail.com,Web,Credit Card,1203.0,2,Yes,False
CUST100006,Vihaan Iyer,41,Male,1622234.125,INR,51,Gold,2021-04-30,2022-12-14,Monthly,957.19,10,4,7,Gaming,Kolkata,India,gmail.com,Android,Wallet,2332.0,1,No,False
CUST100007,Reyansh Mehta,9,Female,844350.0,INR,68,Silver,2021-11-20,2023-02-11,Weekly,3903.16,13,6,7,Home Decor,Pune,India,outlook.com,iOS,Debit Card,1182.0,1,No,False
CUST100008, Sai Mishra ,27,Male,693450.0,INR,50,Gold,2023-01-17,2025-04-11,Rarely,1638.04,0,0,0,Food Court,Kolkata,India,yahoo.com,Desktop,UPI,855.0,2,No,False
CUST100009,Myra Nair,22,Female,1020287.0,INR,88,Platinum,2024-08-06,2026-01-09,Weekly,5899.62625,9,2,6,Food Court,Ahmedabad,India,gmail.com,Web,Credit Card,553.0,3,Yes,False
CUST100010,Ishaan Chopra,49,Female,821121.0,INR,41,Gold,2024-01-28,2026-05-30,Monthly,2226.43,19,7,12,Food Court,Pune,India,outlook.com,Android,UPI,1057.0,5,Yes,False
CUST100011,Sai Sinha,11,Female,837540.0,INR,67,Basic,2024-11-26,2026-05-10,Monthly,283.96,9,1,7,Kids,Bengaluru,India,company.com,iOS,Wallet,412.0,4,Yes,False
CUST100012,Ananya Joshi,33,Male,570610.0,INR,38,Basic,2024-11-25,2024-12-15,Daily,970.5,11,0,12,Kids,Jaipur,India,gmail.com,iOS,Credit Card,1497.0,3,Yes,False
CUST100013,Reyansh Rao,33,Male,609387.0,INR,74,Gold,2021-02-09,2023-03-18,Daily,1272.03,5,4,2,Fashion,Hyderabad,India,gmail.com,iOS,Credit Card,852.0,1,No,False
CUST100014,Kiara Kapoor,28,Male,1085571.0,USD,48,Platinum,2023-01-29,2023-04-09,Monthly,1276.17,20,16,3,Books,Bengaluru,India,company.com,Android,Card,679.0,4,Yes,False
CUST100015,Saanvi Verma,55,Other,444057.0,INR,62,Silver,2022-01-27,2022-04-24,Weekly,2088.18,7,6,1,Home Decor,Chennai,India,yahoo.com,Android,UPI,1001.0,3,No,False
CUST100016,Aadhya Khan,25,Female,213481.0,INR,23,Silver,2022-12-09,2022-09-26,Monthly,1194.35,16,15,1,Fashion,Mumbai,India,gmail.com,Web,Debit Card,613.0,1,No,False
CUST100017,Vivaan Iyer,39,Male,1225084.0,INR,54,Basic,2024-04-20,2025-07-03,Monthly,3803.1,4,2,3,Home Decor,Bengaluru,India,gmail.com,Android,Debit Card,840.0,2,No,False
CUST100018,Saanvi Rao,31,Female,651168.0,INR,32,Gold,2021-06-14,2023-02-16,Weekly,1802.16,6,2,4,Fashion,Bengaluru,India,gmail.com,Web,Credit Card,1472.0,3,Yes,False
CUST100019,Sara Patel,27,Other,1254616.0,INR,100,Gold,2023-11-28,2024-12-02,Monthly,1709.26,6,1,6,Electronics,Ahmedabad,India,gmail.com,iOS,Credit Card,1511.0,5,Yes,False
CUST100020,Aadhya Khan,17,Male,619742.0,INR,25,Basic,2022-07-02,2024-10-19,Monthly,682.0,2,0,3,Beauty,Delhi,India,company.com,Desktop,Credit Card,570.0,3,Yes,True
CUST100021,Amit Patel,30,Female,653437.0,INR,55,Gold,2023-03-26,2025-01-19,Monthly,806.78,37,16,22,Grocery,Mumbai,India,gmail.com,Web,UPI,848.0,1,Yes,False
CUST100022,Reyansh Joshi,28,Male,877245.0,INR,94,Basic,2023-07-31,2024-04-17,Weekly,695.0,17,4,13,Home Decor,Kolkata,India,rediffmail.com,iOS,UPI,1826.0,4,No,False
CUST100023,Saanvi Mehta,49,Other,911335.0,INR,35,Basic,2024-09-12,2025-01-30,Weekly,4085.16,4,0,4,Books,Hyderabad,India,outlook.com,Android,Credit Card,1355.0,4,No,False
CUST100024,Vihaan Iyer,39,Female,343253.0,INR,70,Platinum,2021-02-21,2022-11-17,Monthly,932.47,24,6,19,Kids,Chennai,India,outlook.com,Desktop,Credit Card,1636.0,1,No,False
CUST100025,Ananya Singh,44,Female,220648.0,INR,59,Silver,2021-09-08,2024-10-19,Daily,824.44,1,0,1,Electronics,Pune,India,yahoo.com,Android,Debit Card,1539.0,5,No,False
CUST100026,Kiara Singh,53,Female,531448.0,INR,53,Gold,2023-10-29,2024-06-11,Monthly,1834.74,24,11,13,Books,Lucknow,India,gmail.com,Mobile,UPI,406.0,4,No,True
CUST100027,Vivaan Kapoor,43,Other,1613314.0,INR,29,Gold,2025-02-03,2025-05-11,Monthly,3627.07,10,2,8,Beauty,Bengaluru,India,gmail.com,Web,Credit Card,222.0,1,Yes,False
CUST100028,Amit Chopra,41,Female,485516.0,USD,29,Basic,2024-11-21,2025-08-21,Rarely,2711.87,15,12,2,Books,Ahmedabad,India,outlook.com,Android,Credit Card,2015.0,4,Yes,False
CUST100029,Aditya Joshi,25,Female,374892.0,INR,40,Platinum,2022-03-28,2023-05-06,Monthly,1814.65,2,1,2,Gaming,Ahmedabad,India,rediffmail.com,iOS,Credit Card,1751.0,3,Yes,False
CUST100030,Reyansh Gupta,43,Male,1368516.0,INR,63,Gold,2022-09-28,2024-10-30,Monthly,1894.23,33,8,26,Sports,Mumbai,India,gmail.com,Web,Debit Card,1065.0,2,Yes,False
CUST100031, Rahul Gupta ,38,Other,558960.0,INR,26,Basic,2023-11-05,2024-12-02,Rarely,5899.62625,0,0,0,Gaming,Pune,India,gmail.com,Desktop,Credit Card,2308.0,4,No,True
CUST100032,Diya Sharma,48,Other,515028.0,INR,42,Basic,2021-10-17,2022-10-10,Monthly,1076.75,34,32,2,Food Court,Lucknow,India,yahoo.com,iOS,Credit Card,1523.0,5,Yes,False
CUST100033,Pooja Joshi,43,Male,867954.0,USD,59,Platinum,2023-01-17,2024-12-09,Monthly,2423.89,3,2,1,Electronics,Jaipur,India,company.com,Web,UPI,136.0,2,No,False
CUST100034,Pooja Sinha,53,Male,1033209.0,INR,48,Gold,2023-03-23,2024-08-18,Monthly,1814.65,2,0,2,Kids,Jaipur,India,hotmail.com,iOS,Credit Card,2596.0,2,No,True
CUST100035,Aditya Verma,28,Female,1622234.125,INR,57,Gold,2022-01-19,2023-11-30,Rarely,1158.01,13,3,10,Books,Lucknow,India,gmail.com,Web,Debit Card,0.0,1,Yes,False
CUST100036,Myra Khan,10,Female,1256858.0,USD,58,Basic,2022-09-28,2024-03-08,Monthly,3717.51,6,0,6,Home Decor,Ahmedabad,India,yahoo.com,Desktop,Debit Card,490.0,3,Yes,False
CUST100037,Arjun Rao,29,Male,542522.0,INR,71,Basic,2024-08-02,2024-09-29,Monthly,2338.02,10,4,6,Kids,Bengaluru,India,gmail.com,Android,Credit Card,1310.0,4,Yes,False
CUST100038,Diya Chopra,23,Male,788894.0,INR,60,Platinum,2021-01-06,2022-09-06,Monthly,1151.93,4,2,3,Books,Ahmedabad,India,outlook.com,iOS,Credit Card,198.0,3,Yes,False
CUST100039,Ira Patel,15,Male,560830.0,INR,48,Gold,2023-10-27,2026-04-03,Weekly,2673.45,37,28,9,Gaming,Ahmedabad,India,gmail.com,iOS,UPI,1738.0,3,Yes,False
CUST100040,Arjun Verma,59,Male,1198552.0,INR,38,Gold,2024-11-03,2025-12-23,Rarely,1608.71,17,4,13,Sports,Pune,India,gmail.com,iOS,Credit Card,615.0,3,No,False
CUST100041,Diya Reddy,43,Male,651168.0,INR,7,Silver,2023-03-17,2024-08-15,Monthly,1793.32,99,46,53,Fashion,Mumbai,India,gmail.com,iOS,Debit Card,1595.0,1,No,False
CUST100042,Aarav Verma,24,Female,708383.0,INR,37,Platinum,2021-02-11,2023-07-15,Monthly,4061.04,0,0,0,Grocery,Chennai,India,hotmail.com,Android,Card,804.0,5,Yes,False
CUST100043,Ira Verma,35,Female,970171.0,INR,33,Silver,2024-11-15,2025-06-11,Monthly,1357.03,21,4,18,Food Court,Lucknow,India,hotmail.com,iOS,Wallet,643.0,4,Yes,False
CUST100044,Arjun Kumar,32,Male,498636.0,INR,59,Basic,2022-08-12,2025-02-06,Monthly,4173.67,2,1,2,Kids,Ahmedabad,India,gmail.com,iOS,Credit Card,701.0,5,Yes,False
CUST100045,Amit Das,47,Male,1286421.0,INR,55,Silver,2022-08-08,2024-05-30,Rarely,2856.94,37,17,20,Books,Mumbai,India,gmail.com,iOS,Card,1361.0,2,No,True
CUST100046,Pooja Mehta,32,Female,626150.0,INR,67,Gold,2025-03-31,2025-07-07,Rarely,4277.44,9999,0,5,Books,Jaipur,India,yahoo.com,Mobile,Wallet,2922.125,2,No,False
CUST100047,Sai Khan,28,Male,1254311.0,USD,25,Gold,2023-05-02,2025-04-19,Monthly,4040.04,56,26,31,Sports,Pune,India,gmail.com,Mobile,Debit Card,1957.0,2,Yes,False
CUST100048,Aditya Kapoor,39,Male,770090.0,INR,71,Gold,2021-05-11,2022-11-16,Rarely,737.29,0,0,0,Beauty,Hyderabad,India,gmail.com,iOS,Card,1267.0,4,Yes,False
CUST100049,Saanvi Das,28,Male,622037.0,INR,65,Gold,2025-04-18,2025-04-26,Daily,3573.06,37,28,8,Books,Jaipur,India,gmail.com,Android,Credit Card,449.0,4,Yes,True
CUST100050,Ayaan Mehta,39,Male,799921.0,INR,100,Gold,2022-07-09,2023-09-27,Weekly,2758.34,20,15,5,Fashion,Lucknow,India,rediffmail.com,Android,Credit Card,931.0,4,Yes,False
CUST100051,Reyansh Verma,35,Female,1127917.0,INR,69,Gold,2022-12-05,2024-04-23,Monthly,5899.62625,4,0,3,Grocery,Jaipur,India,rediffmail.com,iOS,Debit Card,440.0,3,No,False
CUST100052,Rahul Iyer,32,Male,1218257.0,INR,48,Silver,2022-12-23,2023-06-14,Monthly,1490.61,31,29,3,Grocery,Lucknow,India,company.com,Mobile,UPI,740.0,1,Yes,True
CUST100053,Myra Joshi,47,Male,1516458.0,INR,57,Silver,2022-06-01,2024-09-12,Daily,749.19,2,0,2,Beauty,Kolkata,India,gmail.com,Android,Cash,469.0,1,No,False
CUST100054,Pooja Joshi,16,Male,634430.0,INR,97,Silver,2024-03-06,2025-04-08,Monthly,995.52,14,0,14,Sports,Lucknow,India,gmail.com,Desktop,Credit Card,572.0,4,No,False
CUST100055,Aarav Das,47,Male,1622234.125,INR,70,Gold,2021-08-07,2021-11-08,Rarely,2826.5,3,2,1,Food Court,Kolkata,India,outlook.com,Web,Wallet,1025.0,1,No,False
CUST100056,Neha Nair,37,Male,421276.0,INR,59,Platinum,2021-08-08,2021-12-24,Monthly,2091.37,51,36,16,Sports,Bengaluru,India,gmail.com,Desktop,UPI,597.0,5,No,False
CUST100057,Rahul Patel,40,Male,167813.0,INR,54,Gold,2022-09-13,2023-05-18,Rarely,2331.08,1,0,2,Gaming,Lucknow,India,yahoo.com,Android,Credit Card,93.0,4,Yes,False
CUST100058,Ananya Patel,28,Female,774459.0,INR,37,Gold,2021-08-03,2022-06-01,Daily,-250.0,20,13,7,Electronics,Jaipur,India,outlook.com,iOS,Debit Card,1715.0,3,No,False
CUST100059,Kiara Joshi,35,Female,283960.0,INR,77,Gold,2021-10-01,2023-01-01,Rarely,1606.49,0,0,0,Gaming,Ahmedabad,India,gmail.com,iOS,Debit Card,710.0,2,Yes,False
CUST100060,Sara Rao,36,Female,245046.0,INR,44,Gold,2021-10-15,2022-04-24,Rarely,1814.65,8,1,7,Home Decor,Bengaluru,India,company.com,Mobile,UPI,1373.0,5,Yes,False
CUST100061,Kiara Singh,37,Male,320154.0,INR,14,Basic,2021-03-08,2022-06-11,Daily,2852.71,22,12,11,Kids,Pune,India,outlook.com,Web,Wallet,718.0,5,Yes,False
