CustomerID,CustomerName,Age,Gender,AnnualIncome_INR,IncomeCurrency,SpendingScore_1_100,MembershipTier,JoinDate,LastPurchaseDate,VisitFrequency,AvgBasketValue_INR,TotalPurchases,OnlinePurchases,StorePurchases,PreferredCategory,City,Country,EmailProvider,DeviceType,PaymentMethod,LoyaltyPoints,SatisfactionRating_1_5,CouponUsed,ChurnNextMonth
CUST100001,Diya Verma,42,Female,241279.0,INR,57,Silver,2024-02-24,2024-09-14,Rarely,758.43,41,3,38,Beauty,Bengaluru,India,gmail.com,Android,Credit Card,1438.0,2,Yes,False
CUST100002,Aditya Nair,52,Male,1135484.0,INR,61,Gold,2025-02-02,2025-10-10,Weekly,2132.28,6,4,2,Sports,Pune,India,hotmail.com,Android,Credit Card,865.0,1,Yes,False
CUST100003,Saanvi Kumar,27,Male,241860.0,INR,64,Silver,2022-05-30,2023-12-17,Rarely,2269.85,10,0,10,Electronics,Lucknow,India,gmail.com,Android,UPI,2472.0,1,No,False
CUST100004,Vihaan Iyer,27,Female,470187.0,INR,86,Silver,2024-01-31,2024-07-18,Rarely,723.67,30,29,1,Food Court,Pune,India,gmail.com,Android,Credit Card,1700.0,3,No,False
CUST100005,Krishna Rao,25,Male,630873.0,INR,53,Basic,2022-01-25,2022-05-01,Monthly,12062.69,38,21,17,Fashion,Bengaluru,India,hotmail.com,Desktop,Credit Card,1203.0,2,Yes,False
CUST100006,Vihaan Iyer,41,Male,736970.0,INR,51,Basic,2021-04-30,2022-12-14,Monthly,957.19,11,4,7,Gaming,Kolkata,India,gmail.com,Android,Wallet,2332.0,1,No,False
CUST100007,Reyansh Mehta,34,Female,844350.0,INR,68,Silver,2021-11-20,2023-02-11,Weekly,3903.16,13,6,7,Home Decor,Pune,India,outlook.com,iOS,Debit Card,1182.0,1,No,False
CUST100008,Sai Mishra,27,Male,693450.0,INR,50,Gold,2023-01-17,2025-04-11,Rarely,1638.04,0,0,0,Food Court,Kolkata,India,yahoo.com,Desktop,UPI,855.0,2,No,False
CUST100009,Myra Nair,22,Female,1020287.0,INR,88,Platinum,2024-08-06,2026-01-09,Weekly,1850.87,8,2,6,Food Court,Ahmedabad,India,gmail.com,Desktop,Credit Card,553.0,3,No,False
CUST100010,Ishaan Chopra,49,Female,821121.0,INR,41,Gold,2024-01-28,2026-05-30,Monthly,2226.43,19,7,12,Food Court,Pune,India,outlook.com,Android,UPI,1057.0,5,Yes,False
